Subgroup	Sample	Type	Normalized_depth	Median_value	Control_Normalized_depth
b3	C084-CHA-C04	Control	0.363856882959369	0.315725561627201	1.1524
b3	C086-CHA-C06	Control	0.243228302929795	0.315725561627201	0.7704
b3	C087-CHA-C07	Control	0.333539221741816	0.315725561627201	1.0564
b3	C088-CHA-C08	Control	0.258780036968577	0.315725561627201	0.8196
b3	C089-CHA-C09	Control	0.312687913409501	0.315725561627201	0.9904
b3	C090-CHA-C10	Control	0.41871921182266	0.315725561627201	1.3262
b3	C091-CHA-C11	r3-r4-g1-g2-b4	0.841346153846154	0.315725561627201	2.6648
b3	C094-CHA-C14	r3-r4-g1-g2-b4	0.838396111786148	0.315725561627201	2.6555
b3	C095-CHA-C15	CON	0.539245056920312	0.315725561627201	1.7080
b3	C096-CHA-C16	r3-r4-g2-b3-gy1	0	0.315725561627201	0.0000
b3	C097-CHA-C17	Control	0.399274047186933	0.315725561627201	1.2646
b3	C099-CHA-C19	Control	0.304692260816575	0.315725561627201	0.9651
b3	C100-CHA-C20	Control	0.290205562273277	0.315725561627201	0.9192
b3	C102-CZA02	Control	0.386151797603196	0.315725561627201	1.2231
b3	C107-CZA07	r3-r4-g1-g2-b4	0.486026731470231	0.315725561627201	1.5394
b3	C111-CUG03	Control	0.329067641681901	0.315725561627201	1.0423
b3	C112-CUG04	r1-r2-gy1	0.0122174709835064	0.315725561627201	0.0387
b3	C114-CMG01	Control	0.2999400119976	0.315725561627201	0.9500
b3	C116-CMG03	CON	0.551889622075585	0.315725561627201	1.7480
b3	C117-CMG04	Control	0.371702637889688	0.315725561627201	1.1773
b3	C118-CMG05	Control	0.373269114990969	0.315725561627201	1.1823
b3	C120-CKZ02	CON	0.558930741190765	0.315725561627201	1.7703
b3	C121-CKZ03	CON	0.593692022263451	0.315725561627201	1.8804
b3	C122-CKZ04	CON	0.625383200490497	0.315725561627201	1.9808
b3	C127-CZH04	Control	0.240529164161155	0.315725561627201	0.7618
b3	C134-CMH01	Control	0.496969696969697	0.315725561627201	1.5741
b3	C137-CMH04	Control	0.305997552019584	0.315725561627201	0.9692
b3	C138-CMH05	Control	0.323547034152187	0.315725561627201	1.0248
b3	C139-CBY01	Control	0.352155434122647	0.315725561627201	1.1154
